CLV;CLM;CLI;FEGL;SIGL;PGL;ALGL;MNGL;PFGL;CAGL;MGGL;TIGL;FOGL;Fe3O4GL;G1;G2;G3;G23;G4;FE1;SI1;P1;AL1;MN1;PF1;CA1;MG1;TI1;FO1;Fe3O4_1;FE2;SI2;P2;AL2;MN2;PF2;CA2;MG2;TI2;FO2;Fe3O4_2;FE3;SI3;P3;AL3;MN3;PF3;CA3;MG3;TI3;FO3;Fe3O4_3;FE23;SI23;P23;AL23;MN23;PF23;CA23;MG23;TI23;FO23;Fe3O4_23;FE4;SI4;P4;AL4;MN4;PF4;CA4;MG4;TI4;FO4;Fe3O4_4;FQGL;FQ1;FQ2;FQ3;FQ23;FQ4
IF;IFR;IFR;52,9680;20,628;0,044;0,821;0,586;2,185;0,011;0,075;0,052;-99;-99;13,517;17,618;11,976;29,594;56,896;64,42;4,2;0,041;0,43;0,636;2,12;0,01;0,01;0,064;-99;-99;63,8;5,71;0,031;0,4;0,825;1,7;0,01;0,01;0,032;-99;-99;56,5;15,88;0,033;0,56;0,828;1,57;0,016;0,01;0,069;-99;-99;60,846;9,826;0,032;0,465;0,826;1,647;0,012;0,01;0,047;-99;-99;46,15;30,15;0,051;1,1;0,449;2,48;0,051;0,125;0,01;-99;-99;100,358;99,85;100,213;100,028;100,138;100,593
IC;IC;IGO;35,228;45,07;0,052;0,109;0,024;4,147;0,01;0,01;0,011;-99;-99;95,577;2,666;0,54;3,206;1,223;35,17;45,14;0,052;0,1;0,015;4,17;0,01;0,01;0,01;-99;-99;34,49;46,66;0,054;0,1;0,119;3,93;0,01;0,01;0,01;-99;-99;37,03;43,51;0,058;0,15;0,339;3,84;0,01;0,022;0,011;-99;-99;34,918;46,129;0,055;0,108;0,156;3,915;0,01;0,012;0,01;-99;-99;40,56;36,85;0,052;0,83;0,401;2,97;0,057;0,01;0,01;-99;-99;99,873;99,861;100,308;101,055;100,434;99,353
IF;IC;IC;28,789;56,768;0,026;0,631;0,034;0,83;0,01;0,082;0,027;-99;-99;55,923;11,761;4,982;16,743;27,333;22,09;67,01;0,021;0,28;0,024;0,63;0,01;0,119;0,01;-99;-99;41,37;39,09;0,032;0,57;0,039;0,97;0,01;0,01;0,033;-99;-99;50,86;25,71;0,029;0,55;0,041;0,56;0,01;0,01;0,025;-99;-99;44,194;35,109;0,031;0,564;0,04;0,848;0,01;0,01;0,031;-99;-99;33,06;49,08;0,032;1,39;0,05;1,23;0,061;0,051;0,01;-99;-99;99,611;99,72;99,953;99,699;99,879;99,226
IC;IC;IC;35,0930;47,259;0,037;0,127;0,039;1,746;0,011;0,072;0,011;-99;-99;94,715;2,573;0,758;3,331;1,954;35,13;47,23;0,036;0,11;0,033;1,73;0,01;0,073;0,01;-99;-99;37,05;43,92;0,048;0,23;0,084;2,07;0,043;0,079;0,01;-99;-99;43,64;34,49;0,059;0,38;0,204;2,75;0,01;0,045;0,02;-99;-99;38,55;41,774;0,051;0,264;0,111;2,225;0,035;0,071;0,012;-99;-99;27,42;58,02;0,037;0,74;0,187;1,69;0,033;0,029;0,01;-99;-99;99,532;99,513;99,541;100,486;99,756;100,051
IC;IC;IC;34,609;46,79;0,05;0,451;0,497;1,848;0,011;0,032;0,021;-99;-99;86,452;3,918;1,91;5,828;7,719;33,27;49,11;0,049;0,3;0,34;1,8;0,01;0,032;0,01;-99;-99;40,01;33,15;0,057;0,79;3,737;2,68;0,04;0,06;0,032;-99;-99;51,27;22,59;0,049;0,7;1,621;1,7;0,013;0,01;0,035;-99;-99;43,7;29,689;0,054;0,761;3,044;2,359;0,031;0,044;0,033;-99;-99;42,74;33,72;0,058;1,91;0,337;2;0,13;0,019;0,01;-99;-99;99,39;99,379;98,91;100,554;99,449;99,462
IC;QF;IC;19,854;68,832;0,018;0,448;0,029;0,495;0,01;0,143;0,031;-99;-99;82,726;3,471;2,222;5,693;11,582;15,96;74,85;0,01;0,11;0,016;0,2;0,01;0,165;0,012;-99;-99;33,46;50,61;0,028;0,63;0,028;1,03;0,01;0,074;0,042;-99;-99;49,14;28,11;0,038;0,85;0,05;0,94;0,01;0,02;0,066;-99;-99;39,58;41,828;0,032;0,716;0,037;0,995;0,01;0,053;0,051;-99;-99;37,97;39,12;0,065;2,73;0,116;2,36;0,156;0,03;0,01;-99;-99;98,422;98,209;100,334;100,403;100,362;98,99
IF;IF;IC;28,72;55,524;0,039;1,379;0,043;1,184;0,01;0,122;0,092;-99;-99;41,156;9,067;9,498;18,565;40,293;13,31;79,47;0,013;0,29;0,018;0,35;0,01;0,2;0,027;-99;-99;31,35;52,8;0,038;1,38;0,036;1,31;0,01;0,062;0,08;-99;-99;43,47;36,34;0,031;1,3;0,035;0,41;0,01;0,05;0,054;-99;-99;37,551;44,379;0,034;1,339;0,035;0,85;0,01;0,056;0,067;-99;-99;40,39;36,2;0,068;2,51;0,073;2,19;0,17;0,072;0,01;-99;-99;99,517;99,429;100,597;100,429;100,511;99,148
IC;IC;IC;31,912;53,052;0,034;0,121;0,029;1,654;0,012;0,062;0,01;-99;-99;97,268;0,94;0,323;1,263;1,469;31,9;53,14;0,033;0,11;0,028;1,63;0,01;0,062;0,01;-99;-99;34,29;46,95;0,077;0,2;0,046;2,85;0,019;0,043;0,01;-99;-99;39,41;39,85;0,086;0,3;0,064;3,18;0,042;0,074;0,01;-99;-99;35,599;45,134;0,079;0,226;0,051;2,934;0,025;0,051;0,01;-99;-99;29,55;54,05;0,049;0,77;0,077;2,16;0,01;0,098;0,108;-99;-99;100,652;100,681;99,332;100,08;99,523;99,655
IC;IC;IC;24,643;63,371;0,033;0,338;0,031;1,135;0,019;0,026;0,025;-99;-99;87,16;2,094;1,704;3,798;9,048;22,51;67,16;0,022;0,1;0,016;0,82;0,01;0,01;0,01;-99;-99;34,84;47,58;0,056;0,53;0,052;2,05;0,024;0,061;0,029;-99;-99;46,62;30,25;0,077;0,87;0,08;1,99;0,041;0,092;0,076;-99;-99;40,125;39,805;0,065;0,683;0,065;2,023;0,032;0,075;0,05;-99;-99;38,69;36,76;0,124;2,49;0,157;3,8;0,162;0,155;0,105;-99;-99;100,261;100,364;100,28;100,251;100,268;99,274
AT;AT;AT;66,0670;1,135;0,054;2,166;0,029;2,127;0,01;0,01;0,106;-99;-99;32,616;25,713;12,602;38,315;29,069;66,69;0,76;0,06;1,88;0,037;1,99;0,01;0,01;0,058;-99;-99;66,63;0,72;0,046;2,07;0,031;1,92;0,01;0,01;0,08;-99;-99;65,93;1,51;0,048;2,15;0,023;2,04;0,01;0,01;0,088;-99;-99;66,4;0,98;0,047;2,096;0,028;1,959;0,01;0,01;0,083;-99;-99;64,93;1,76;0,057;2,58;0,02;2,5;0,191;0,01;0,01;-99;-99;100,171;100,24;100,216;100,208;100,214;100,038
